producto;link;metodo
pan_frances;https://diaonline.supermercadosdia.com.ar/pan-flauta-x-un-259352/p;dia_kg
galletitas_dulces;https://diaonline.supermercadosdia.com.ar/galletitas-pepas-dia-500-gr-99483/p;dia_kg
galletitas_dulces;https://diaonline.supermercadosdia.com.ar/galletitas-rellenas-con-crema-sabor-original-pack-x-3-ud-oreo-118g-354-gr-271630/p;dia_kg
galletitas_dulces;https://diaonline.supermercadosdia.com.ar/galletitas-dia-con-chips-de-chocolate-172-gr-161521/p;dia_kg
galletitas_dulces;https://diaonline.supermercadosdia.com.ar/galletitas-vainillas-dia-444-gr-272349/p;dia_kg
galletitas_dulces;https://diaonline.supermercadosdia.com.ar/galletitas-pepitos-tripack-357-gr-271632/p;dia_kg
galletitas_dulces;https://diaonline.supermercadosdia.com.ar/galletitas-agridulces-9-de-oro-100gr-295370/p;dia_kg
galletitas_de_agua;https://diaonline.supermercadosdia.com.ar/galletitas-de-agua-traviata-506-gr-287902/p;dia_kg
galletitas_de_agua;https://diaonline.supermercadosdia.com.ar/galletitas-cracker-agua-tia-maruca-318-gr-250191/p;dia_kg
galletitas_de_agua;https://diaonline.supermercadosdia.com.ar/galletas-de-agua-granix-tipo-sandwich-600-gr-271963/p;dia_kg
harina_de_trigo;https://diaonline.supermercadosdia.com.ar/harina-de-trigo-000-dia-1-kg-24272/p;dia_kg
harina_de_trigo;https://diaonline.supermercadosdia.com.ar/harina-000-pureza-ultra-refinada-1-kg-166079/p;dia_kg
harina_de_trigo;https://diaonline.supermercadosdia.com.ar/harina-000-canuelas-ultra-refinada-1-kg-273445/p;dia_kg
harina_de_trigo;https://diaonline.supermercadosdia.com.ar/harina-000-caserita-1-kg-54869/p;dia_kg
arroz;https://diaonline.supermercadosdia.com.ar/arroz-parboil-molinos-ala-500-gr-298637/p;dia_kg
arroz;https://diaonline.supermercadosdia.com.ar/arroz-largo-fino-00000-dia-1-kg-55745/p;dia_kg
arroz;https://diaonline.supermercadosdia.com.ar/arroz-largo-fino-0000-dia-500-gr-71136/p;dia_kg
arroz;https://diaonline.supermercadosdia.com.ar/arroz-shangrila-largo-fino-1-kg-211514/p;dia_kg
fideos_secos;https://diaonline.supermercadosdia.com.ar/fideos-tallarin-don-vicente-500-gr-299848/p;dia_kg
fideos_secos;https://diaonline.supermercadosdia.com.ar/fideos-spaghetti-n7-luchetti-500-gr-40877/p;dia_kg
fideos_secos;https://diaonline.supermercadosdia.com.ar/fideos-spaghetti-cuquets-500-gr-120013/p;dia_kg
fideos_secos;https://diaonline.supermercadosdia.com.ar/fideos-spaghetti-dia-500-gr-285831/p;dia_kg
fideos_secos;https://diaonline.supermercadosdia.com.ar/fideos-spaghetti-n3-matarazzo-500-gr-38576/p;dia_kg
fideos_secos;https://diaonline.supermercadosdia.com.ar/fideos-tallarin-n5-matarazzo-500-gr-42907/p;dia_kg
asado;https://diaonline.supermercadosdia.com.ar/asado-envasado-al-vacio-x-1-kg-217078/p;dia_kg
carnaza;https://diaonline.supermercadosdia.com.ar/tapa-de-nalga-envasado-al-vacio-x-1-kg-279531/p;dia_kg
paleta;https://diaonline.supermercadosdia.com.ar/paleta-en-churrasco-envasado-al-vacio-x-1-kg-279514/p;dia_kg
carne_picada;https://diaonline.supermercadosdia.com.ar/carne-picada-especial-500-gr-279513/p;dia_kg
carne_picada;https://diaonline.supermercadosdia.com.ar/carne-picada-de-nalga-500-gr-279496/p;dia_kg
carne_picada;https://diaonline.supermercadosdia.com.ar/carne-picada-comun-atmosfera-modificada-600-gr-225677/p;dia_kg
carne_picada;https://diaonline.supermercadosdia.com.ar/picada-de-cerdo-fresca-envasado-al-vacio-x-1-kg-135644/p;dia_kg
pechito_de_cerdo;https://diaonline.supermercadosdia.com.ar/pechito-de-cerdo-al-vacio-x-kg-123969/p;dia_kg
pechito_de_cerdo;https://diaonline.supermercadosdia.com.ar/pechito-de-cerdo-atmosfera-modificada-x-1-kg-135645/p;dia_kg
pechito_de_cerdo;https://diaonline.supermercadosdia.com.ar/pechito-de-cerdo-envasado-al-vacio-x-1-kg-279522/p;dia_kg
pollo;https://diaonline.supermercadosdia.com.ar/pollo-fresco-x-1-kg-90150/p;dia_kg
pollo;https://diaonline.supermercadosdia.com.ar/pollo-congelado-x-1-kg-718817/p;dia_kg
pollo;https://diaonline.supermercadosdia.com.ar/pollo-cuarto-trasero-cristalx-1-kg-245477/p;dia_kg
carne_de_pescado;https://diaonline.supermercadosdia.com.ar/filetes-de-merluza-natural-portobelo-500-gr-262589/p;dia_kg
mortadela;https://diaonline.supermercadosdia.com.ar/mortadela-feteada-dia-300-gr-103016/p;dia_kg
mortadela;https://diaonline.supermercadosdia.com.ar/mortadela-feteada-lario-150-gr-270904/p;dia_kg
mortadela;https://diaonline.supermercadosdia.com.ar/mortadela-bocha-paladini-300-gr-60075/p;dia_kg
paleta_cocida;https://diaonline.supermercadosdia.com.ar/paleta-cocida-paladini-feteado-fino-200-gr-273197/p;dia_kg
salchichon;https://diaonline.supermercadosdia.com.ar/salchichon-primavera-lario-320-gr-75214/p;dia_kg
salame;https://diaonline.supermercadosdia.com.ar/salame-milan-feteado-fetas-mas-finas-dia-180-gr-62655/p;dia_kg
salame;https://diaonline.supermercadosdia.com.ar/salame-feteado-lario-milan-150-gr-270906/p;dia_kg
salame;https://diaonline.supermercadosdia.com.ar/salame-feteado-milan-chacra-180-gr-257741/p;dia_kg
aceite_de_girasol;https://diaonline.supermercadosdia.com.ar/aceite-de-girasol-pureza-15-lts-265505/p;dia_kg
aceite_de_girasol;https://diaonline.supermercadosdia.com.ar/aceite-de-girasol-legitimo-15-lt-15122/p;dia_kg
aceite_de_girasol;https://diaonline.supermercadosdia.com.ar/aceite-de-girasol-natura-15-lts-78856/p;dia_kg
aceite_de_girasol;https://diaonline.supermercadosdia.com.ar/aceite-de-girasol-canuelas-15-lts-73552/p;dia_kg
aceite_de_girasol;https://diaonline.supermercadosdia.com.ar/aceite-de-girasol-dia-900-ml-226068/p;dia_kg
aceite_de_girasol;https://diaonline.supermercadosdia.com.ar/aceite-de-girasol-cocinero-900-ml-48605/p;dia_kg
margarina_para_cocinar;https://diaonline.supermercadosdia.com.ar/margarina-danica-soft-light-en-pote-200-gr-169958/p;dia_kg
margarina_para_cocinar;https://diaonline.supermercadosdia.com.ar/margarina-danica-dorada-pote-210-gr-169957/p;dia_kg
leche_fluida;https://diaonline.supermercadosdia.com.ar/leche-larga-vida-liviana-1--la-serenisima-1-lt-295998/p;dia_kg
leche_fluida;https://diaonline.supermercadosdia.com.ar/leche-larga-vida-clasica-3--la-serenisima-1lt-295999/p;dia_kg
leche_fluida;https://diaonline.supermercadosdia.com.ar/leche-descremada-sancor-1-lt-46411/p;dia_kg
leche_fluida;https://diaonline.supermercadosdia.com.ar/leche-entera-dia-sachet-1-lt-30111/p;dia_kg
leche_fluida;https://diaonline.supermercadosdia.com.ar/leche-parcialmente-descremada-dia-sachet-1-lt-30112/p;dia_kg
leche_fluida;https://diaonline.supermercadosdia.com.ar/leche-entera-clasica-la-serenisima-botella-larga-vida-1-lt-165870/p;dia_kg
leche_en_polvo_entera;https://diaonline.supermercadosdia.com.ar/leche-entera-en-polvo-dia-400-gr-102960/p;dia_kg
leche_en_polvo_entera;https://diaonline.supermercadosdia.com.ar/leche-en-polvo-la-serenisima-entera-200-gr-277953/p;dia_kg
leche_en_polvo_entera;https://diaonline.supermercadosdia.com.ar/leche-en-polvo-entera-la-lechera-800-gr-169108/p;dia_kg
queso_crema;https://diaonline.supermercadosdia.com.ar/queso-crema-clasico-casancrem-480-gr-298789/p;dia_kg
queso_crema;https://diaonline.supermercadosdia.com.ar/queso-blanco-light-casancrem-480-gr-298792/p;dia_kg
